Date,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,fdbb,fdbs,fdb,aof,aofvalue,aoaz,aobz,zlc,zlcb,zlcs,aocolor,accolor,zcol,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow
2021-04-22 21:00:00,170032,1.38398,1.38956,1.383345,1.388205,1.3864525,0.0594544528,0.0777923502,1.3793779426,1.3783173582,1.3837654413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0594544528,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2021-04-24 21:00:00,40,1.388205,1.388265,1.387025,1.38771,1.387645,0.0559060868,0.0293578182,1.3793129086,1.3797945634,1.3853658531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0559060868,1,0,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-25 21:00:00,170572,1.38771,1.39296,1.38646,1.390095,1.38971,0.0470956687,-0.0147760302,1.3792161464,1.381915868,1.3860261825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0470956687,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-26 21:00:00,161606,1.390095,1.392425,1.38586,1.39141,1.3891425,0.0448162723,-0.0248662805,1.379547789,1.383147322,1.386111446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0448162723,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-27 21:00:00,205434,1.39141,1.395075,1.38608,1.393475,1.3905775,0.0470673832,-0.012375077,1.3803621898,1.3838373442,1.3864181568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0470673832,1,0,0.0,0.0,0.0,green,green,gray,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2021-04-28 21:00:00,213749,1.393475,1.39766,1.3929,1.39454,1.39528,0.0564871224,0.0202288609,1.3816239444,1.3841642387,1.3870765254,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,0.0564871224,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-29 21:00:00,222608,1.39454,1.395845,1.380265,1.38224,1.388055,0.0563864676,0.0195882864,1.3824042179,1.3845993339,1.3874897203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0563864676,1,0,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-01 21:00:00,31,1.38224,1.38224,1.380865,1.38166,1.3815525,0.0456652162,-0.0143895786,1.3828860089,1.3852381671,1.3881072763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0456652162,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-02 21:00:00,177057,1.38166,1.39318,1.38011,1.39098,1.386645,0.0396404958,-0.0306360718,1.3831603543,1.3857262087,1.389541821,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0396404958,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-03 21:00:00,273131,1.39098,1.39182,1.383835,1.38868,1.3878275,0.032881771,-0.0434051779,1.3835053271,1.3863326201,1.3892444568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.032881771,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-04 21:00:00,191328,1.38868,1.39264,1.387635,1.39075,1.3901375,0.0237989038,-0.0516926649,1.3839826096,1.3874510426,1.3877060654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0237989038,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
